spliced	intron	gene_name
ENSMUSG00000029094.13	ENSMUSG00000029094.13-I	Afap1
ENSMUSG00000082692.3	ENSMUSG00000082692.3-I	H2af-ps1
ENSMUSG00000043430.6	ENSMUSG00000043430.6-I	Psapl1
ENSMUSG00000098884.3	ENSMUSG00000098884.3-I	Mir7689
ENSMUSG00000029198.4	ENSMUSG00000029198.4-I	Grpel1
ENSMUSG00000050677.3	ENSMUSG00000050677.3-I	Ccdc96
ENSMUSG00000107168.2	ENSMUSG00000107168.2-I	Gm42507
ENSMUSG00000089197.3	ENSMUSG00000089197.3-I	Gm25767
ENSMUSG00000107081.2	ENSMUSG00000107081.2-I	Gm43701
ENSMUSG00000029120.11	ENSMUSG00000029120.11-I	Ppp2r2c
ENSMUSG00000106934.2	ENSMUSG00000106934.2-I	Gm42506
ENSMUSG00000063646.19	ENSMUSG00000063646.19-I	Jakmip1
ENSMUSG00000117286.2	ENSMUSG00000117286.2-I	Gm1043
ENSMUSG00000113373.2	ENSMUSG00000113373.2-I	AC110238.1
ENSMUSG00000029121.17	ENSMUSG00000029121.17-I	Crmp1
ENSMUSG00000050248.12	ENSMUSG00000050248.12-I	Evc2
ENSMUSG00000062329.5	ENSMUSG00000062329.5-I	Cytl1
ENSMUSG00000107131.2	ENSMUSG00000107131.2-I	Gm43763
ENSMUSG00000106718.2	ENSMUSG00000106718.2-I	Gm20052
ENSMUSG00000107126.2	ENSMUSG00000107126.2-I	Gm40289
ENSMUSG00000029125.15	ENSMUSG00000029125.15-I	Stx18
ENSMUSG00000067367.10	ENSMUSG00000067367.10-I	Lyar
ENSMUSG00000067365.12	ENSMUSG00000067365.12-I	Tmem128
ENSMUSG00000051596.16	ENSMUSG00000051596.16-I	Otop1
ENSMUSG00000039358.4	ENSMUSG00000039358.4-I	Drd5
ENSMUSG00000106932.2	ENSMUSG00000106932.2-I	4930487D11Rik
ENSMUSG00000089646.2	ENSMUSG00000089646.2-I	Gm15796
ENSMUSG00000064419.3	ENSMUSG00000064419.3-I	Gm22249
ENSMUSG00000086422.2	ENSMUSG00000086422.2-I	4930421P07Rik
ENSMUSG00000079528.10	ENSMUSG00000079528.10-I	Clnkos
ENSMUSG00000107031.2	ENSMUSG00000107031.2-I	Gm40292
ENSMUSG00000106679.2	ENSMUSG00000106679.2-I	Gm42524
ENSMUSG00000083261.5	ENSMUSG00000083261.5-I	Gm7816
ENSMUSG00000082938.2	ENSMUSG00000082938.2-I	Gm2810
ENSMUSG00000106865.2	ENSMUSG00000106865.2-I	4930519E07Rik
